               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10827,            0.021119,            0.071292,                   0,                   0,                   0,                   0,             0.10433,             0.01592,            0.070839,              0.0937,              0.0007,              0.0007
                   1,             0.10396,            0.022619,            0.071828,                   0,                   0,                   0,                   0,            0.098658,            0.016887,            0.070862,            0.086495,            0.001495,            0.001495
                   2,            0.098005,            0.023743,            0.071355,                   0,                   0,                   0,                   0,            0.095276,            0.017304,            0.070839,            0.079285,           0.0022848,           0.0022848
                   3,            0.094384,            0.023887,            0.071376,                   0,                   0,                   0,                   0,            0.091824,            0.017836,            0.070816,            0.072069,           0.0030693,           0.0030693
                   4,            0.090917,            0.027931,            0.071186,                   0,                   0,                   0,                   0,            0.088578,            0.018058,            0.070816,            0.064849,           0.0038485,           0.0038485
                   5,            0.088976,            0.024255,            0.071359,                   0,                   0,                   0,                   0,            0.085702,            0.018552,             0.07077,            0.057622,           0.0046225,           0.0046225
                   6,            0.084655,            0.025733,             0.07107,                   0,                   0,                   0,                   0,              0.0836,            0.018975,            0.070816,            0.050391,           0.0053911,           0.0053911
                   7,            0.086488,            0.027233,            0.071435,                   0,                   0,                   0,                   0,            0.081221,            0.019363,            0.070793,            0.043154,           0.0061545,           0.0061545
                   8,            0.081047,            0.027048,             0.07115,                   0,                   0,                   0,                   0,            0.078882,            0.019655,            0.070839,            0.035913,           0.0069126,           0.0069126
                   9,            0.078109,            0.028539,            0.071011,                   0,                   0,                   0,                   0,            0.077211,            0.019822,            0.070793,            0.028665,           0.0076654,           0.0076654
                  10,            0.076321,            0.026194,            0.070301,                   0,                   0,                   0,                   0,            0.072773,            0.020317,            0.070621,            0.021413,           0.0084129,           0.0084129
                  11,            0.076194,             0.02733,            0.070253,           0.0035818,             0.73333,           0.0094709,           0.0024352,            0.063726,            0.021579,            0.070026,            0.014155,           0.0091552,           0.0091552
                  12,            0.076891,            0.026288,            0.069737,           0.0023688,                 0.6,            0.026046,           0.0080322,            0.059307,            0.022527,            0.069397,            0.009604,            0.009604,            0.009604
                  13,            0.071249,            0.027311,             0.06952,           0.0045736,             0.76667,             0.03518,            0.010736,            0.056547,            0.022835,            0.068722,            0.009604,            0.009604,            0.009604
                  14,            0.067904,            0.027529,             0.06949,           0.0017009,                 0.5,            0.011166,           0.0024491,            0.060229,            0.023118,             0.06815,            0.009571,            0.009571,            0.009571
                  15,            0.069461,            0.026421,            0.069182,           0.0032694,             0.93333,            0.036595,            0.011571,             0.05507,            0.020914,            0.067635,            0.009538,            0.009538,            0.009538
                  16,            0.066642,             0.02856,            0.069315,           0.0037673,             0.96667,            0.074396,            0.019051,            0.058384,            0.019876,            0.067314,            0.009505,            0.009505,            0.009505
                  17,            0.068914,            0.025496,            0.067984,           0.0031271,             0.93333,            0.028142,           0.0093076,            0.060134,            0.017605,            0.067371,            0.009472,            0.009472,            0.009472
                  18,            0.063375,            0.026921,            0.068384,           0.0029942,                 0.9,            0.054666,            0.019272,            0.052186,            0.018432,            0.066662,            0.009439,            0.009439,            0.009439
                  19,            0.059083,            0.024366,            0.067308,           0.0034179,                   1,              0.1333,            0.040999,            0.048473,             0.01881,            0.065609,            0.009406,            0.009406,            0.009406
                  20,            0.059227,            0.026282,            0.067571,           0.0033831,                   1,              0.1009,            0.037296,            0.053877,            0.017718,            0.065002,            0.009373,            0.009373,            0.009373
                  21,            0.059544,            0.024674,            0.067827,           0.0031242,             0.93333,             0.12921,            0.053046,            0.052508,            0.020133,            0.065598,             0.00934,             0.00934,             0.00934
                  22,            0.057978,             0.02634,            0.066663,           0.0029049,             0.86667,            0.058168,            0.015409,             0.05948,            0.019471,            0.065506,            0.009307,            0.009307,            0.009307
                  23,            0.058872,             0.02319,            0.066168,           0.0033547,                   1,              0.1222,            0.050191,            0.046769,            0.017855,            0.064407,            0.009274,            0.009274,            0.009274
                  24,             0.05657,            0.025598,            0.066061,           0.0033622,                   1,             0.19492,             0.09696,            0.047624,            0.017961,            0.064201,            0.009241,            0.009241,            0.009241
                  25,            0.056961,            0.023694,            0.065674,           0.0031977,             0.93333,             0.15366,            0.033613,            0.059325,             0.02117,            0.063938,            0.009208,            0.009208,            0.009208
                  26,            0.054165,            0.023716,            0.065361,             0.60568,             0.23333,             0.19029,            0.047048,            0.053634,            0.025671,            0.063892,            0.009175,            0.009175,            0.009175
                  27,            0.055478,            0.023566,              0.0649,           0.0029564,             0.86667,            0.037187,            0.014428,            0.063716,            0.021466,            0.064499,            0.009142,            0.009142,            0.009142
                  28,            0.052879,            0.022889,            0.064219,           0.0021859,             0.43333,            0.036468,            0.018637,            0.071017,            0.027273,            0.065414,            0.009109,            0.009109,            0.009109
                  29,            0.051658,            0.021492,            0.064677,           0.0015467,                 0.4,            0.019916,            0.011743,            0.074048,            0.027478,            0.065392,            0.009076,            0.009076,            0.009076
                  30,             0.05416,             0.02064,            0.063132,             0.12903,             0.69965,              0.3716,             0.15274,            0.043938,            0.017365,             0.06078,            0.009043,            0.009043,            0.009043
                  31,            0.051872,            0.020264,            0.063083,             0.56288,             0.16135,             0.32025,             0.12441,            0.047047,            0.015261,            0.060219,             0.00901,             0.00901,             0.00901
                  32,            0.052017,            0.020761,             0.06322,             0.53135,             0.33333,             0.36138,             0.14515,            0.044165,            0.014238,            0.059223,            0.008977,            0.008977,            0.008977
                  33,            0.047493,            0.020095,            0.062423,             0.43963,             0.28693,             0.31114,            0.092905,            0.066641,              0.0173,            0.061626,            0.008944,            0.008944,            0.008944
                  34,            0.051296,            0.018633,            0.061116,             0.75433,            0.066667,             0.18901,            0.046759,            0.077464,            0.040602,             0.06459,            0.008911,            0.008911,            0.008911
                  35,            0.047223,            0.020858,            0.062286,             0.27325,             0.39505,             0.32984,            0.085436,             0.06353,            0.019247,            0.059498,            0.008878,            0.008878,            0.008878
                  36,            0.050684,             0.01876,            0.060466,              0.4247,             0.49338,              0.4834,             0.23371,            0.038395,            0.013928,            0.056545,            0.008845,            0.008845,            0.008845
                  37,            0.048287,            0.018916,            0.059609,             0.41676,                 0.5,             0.44331,             0.18076,            0.046436,            0.013082,            0.055824,            0.008812,            0.008812,            0.008812
                  38,            0.048436,            0.019041,            0.059905,             0.37443,             0.39608,             0.32262,             0.12554,            0.048298,            0.012207,             0.05595,            0.008779,            0.008779,            0.008779
                  39,            0.046458,            0.018763,            0.059862,             0.50231,             0.26667,             0.34789,             0.13042,            0.043085,            0.012966,            0.056717,            0.008746,            0.008746,            0.008746
                  40,            0.045364,            0.018071,            0.060074,             0.72258,             0.26667,             0.35243,             0.10725,            0.053279,            0.011877,              0.0569,            0.008713,            0.008713,            0.008713
                  41,            0.046767,            0.016598,            0.058975,             0.53772,             0.37476,             0.43934,             0.15325,            0.049529,            0.010779,            0.053467,             0.00868,             0.00868,             0.00868
                  42,            0.043739,            0.017149,              0.0574,             0.31634,             0.46667,             0.45802,              0.1676,            0.044981,            0.011764,            0.051922,            0.008647,            0.008647,            0.008647
                  43,            0.042955,            0.016325,            0.057172,             0.61862,             0.46667,             0.47901,             0.18535,            0.051569,            0.011542,            0.052002,            0.008614,            0.008614,            0.008614
                  44,            0.044961,            0.016137,            0.056325,             0.27091,             0.67706,             0.48624,             0.25405,            0.038815,            0.012433,            0.049644,            0.008581,            0.008581,            0.008581
                  45,            0.044299,            0.016588,            0.057005,             0.34301,             0.59836,             0.51258,             0.28249,            0.035627,            0.011533,            0.049255,            0.008548,            0.008548,            0.008548
                  46,            0.043785,            0.017032,            0.055913,              0.5302,             0.58576,             0.62303,             0.34299,            0.037892,            0.011888,            0.047928,            0.008515,            0.008515,            0.008515
                  47,            0.044923,            0.015733,            0.055317,             0.55499,             0.68491,              0.7035,             0.36197,            0.040113,            0.012075,             0.04715,            0.008482,            0.008482,            0.008482
                  48,            0.043379,            0.016516,            0.054295,             0.65373,             0.56667,             0.67268,             0.39543,            0.034413,            0.012426,            0.046818,            0.008449,            0.008449,            0.008449
                  49,            0.042385,            0.015696,            0.053943,             0.68297,                 0.3,             0.32689,             0.11211,            0.051439,            0.019877,            0.054966,            0.008416,            0.008416,            0.008416
                  50,            0.041548,            0.015392,            0.054686,             0.61889,              0.3638,             0.20184,             0.08903,            0.068615,            0.046296,            0.058605,            0.008383,            0.008383,            0.008383
                  51,            0.040685,             0.01613,            0.051741,              0.8999,             0.13091,             0.20568,             0.12061,            0.075605,            0.033095,            0.059349,             0.00835,             0.00835,             0.00835
                  52,            0.040538,            0.016489,            0.052736,             0.26791,             0.75683,             0.77758,             0.38772,            0.038456,            0.013693,            0.046028,            0.008317,            0.008317,            0.008317
                  53,            0.040854,            0.015607,            0.051492,             0.24187,             0.57192,             0.70934,             0.31816,            0.041989,            0.011305,            0.046108,            0.008284,            0.008284,            0.008284
                  54,            0.039987,            0.015836,            0.051573,              0.3821,             0.67489,             0.76937,             0.36967,            0.036926,            0.010248,            0.045553,            0.008251,            0.008251,            0.008251
                  55,            0.041755,            0.015361,            0.052991,             0.49081,             0.79349,             0.78573,             0.42492,             0.03324,           0.0091763,            0.042715,            0.008218,            0.008218,            0.008218
                  56,            0.040909,            0.014612,            0.050875,             0.54932,             0.76667,             0.85016,             0.39485,            0.035196,           0.0087919,            0.041428,            0.008185,            0.008185,            0.008185
                  57,            0.040918,            0.014704,            0.050848,             0.49859,             0.73333,             0.83037,             0.44099,            0.035549,           0.0086323,            0.040861,            0.008152,            0.008152,            0.008152
                  58,            0.041811,            0.015464,            0.049282,              0.6313,             0.83333,             0.86772,             0.44137,            0.033431,           0.0099974,            0.040672,            0.008119,            0.008119,            0.008119
                  59,            0.041207,            0.015135,            0.048895,             0.53766,                 0.9,             0.81681,             0.52536,            0.029159,           0.0087016,            0.040627,            0.008086,            0.008086,            0.008086
                  60,             0.03749,            0.014886,            0.048079,             0.52304,             0.80715,             0.82778,             0.55862,             0.02935,           0.0086484,            0.041182,            0.008053,            0.008053,            0.008053
                  61,            0.039315,            0.013501,            0.048385,             0.54366,             0.66667,             0.77937,             0.49268,            0.030954,           0.0090667,            0.042034,             0.00802,             0.00802,             0.00802
                  62,            0.039146,            0.013863,            0.047399,               0.468,             0.66667,             0.77373,             0.50091,            0.028942,           0.0087733,            0.039797,            0.007987,            0.007987,            0.007987
                  63,             0.04115,            0.014939,            0.048862,             0.38321,                 0.8,             0.74104,             0.45655,            0.028942,           0.0092343,            0.039385,            0.007954,            0.007954,            0.007954
                  64,            0.039931,             0.01476,            0.046756,             0.53098,             0.73333,             0.76593,             0.47348,            0.029206,           0.0095317,            0.038361,            0.007921,            0.007921,            0.007921
                  65,             0.03767,            0.013684,            0.048053,             0.48451,             0.76667,             0.80825,             0.49149,            0.034025,           0.0096735,            0.038738,            0.007888,            0.007888,            0.007888
                  66,            0.039091,            0.013961,             0.04551,             0.47596,             0.86667,             0.83134,             0.50902,            0.030209,           0.0096678,            0.037531,            0.007855,            0.007855,            0.007855
                  67,            0.041186,            0.013988,            0.046246,             0.53632,             0.86667,             0.82398,             0.44451,            0.032666,            0.008754,            0.036455,            0.007822,            0.007822,            0.007822
                  68,            0.036927,            0.013816,            0.045138,             0.44997,             0.81236,             0.81756,             0.54031,            0.029964,           0.0088757,            0.036089,            0.007789,            0.007789,            0.007789
                  69,            0.038534,             0.01492,            0.045452,             0.35985,             0.73269,             0.71442,             0.39906,            0.033948,           0.0095284,            0.039602,            0.007756,            0.007756,            0.007756
                  70,            0.038216,             0.01368,            0.044571,             0.49796,             0.83022,             0.80806,             0.46573,            0.031772,           0.0090385,            0.034452,            0.007723,            0.007723,            0.007723
                  71,            0.039646,            0.015134,            0.044982,             0.48287,             0.82616,             0.80601,             0.34788,            0.034835,           0.0087443,            0.033463,             0.00769,             0.00769,             0.00769
                  72,            0.039277,            0.015233,            0.042342,             0.53772,             0.88451,             0.82425,             0.54034,            0.028427,            0.008231,              0.0338,            0.007657,            0.007657,            0.007657
                  73,            0.037307,            0.013478,            0.041696,             0.59706,             0.82849,             0.83128,             0.59427,            0.027061,           0.0081013,             0.03265,            0.007624,            0.007624,            0.007624
                  74,            0.038038,            0.013243,            0.042481,             0.59547,             0.85108,             0.86548,              0.5593,            0.028758,           0.0082254,            0.031706,            0.007591,            0.007591,            0.007591
